iso3,year,country_id,region_id,g_whoregion,success,cohort,prop_success,e_inc_100k,e_mort_100k,c_cdr,year_z,e_inc_100k_z,e_mort_100k_z,c_cdr_z,e_tbhiv_prct,used_2021_defs_flg
ESP,2020,50,4,EUR,1864,3494,0.5334859759587864,7.2,0.52,86,0.684955891887273,-0.7164843690158968,-0.5612527748202736,1.1973520442517822,6.8,1
ESP,2021,50,4,EUR,980,2619,0.374188621611302,8.2,0.48,86,0.9829437121428992,-0.7106695247934681,-0.5621842407996053,1.1973520442517822,6.8,1
ESP,2022,50,4,EUR,2684,3640,0.7373626373626374,6.3,0.44,86,1.2809315323985255,-0.7217177288160828,-0.5631157067789371,1.1973520442517822,6.8,1
ESP,2023,50,4,EUR,1836,3030,0.6059405940594059,9.7,0.55,86,1.5789193526541516,-0.7019472584598251,-0.5605541753357748,1.1973520442517822,6.8,1
LKA,2013,95,5,SEA,7662,9010,0.8503884572697004,78,3.9,56,-1.4009588499021106,-0.3047933980679432,-0.48254389956674315,-0.7678617182182345,0.56,NA
LKA,2014,95,5,SEA,7550,8980,0.8407572383073497,74,3.4,59,-1.1029710296464843,-0.32805277495765806,-0.4941872243083897,-0.5713403419712327,0.28,NA
LKA,2015,95,5,SEA,7861,9293,0.8459055202840848,70,3.8,61,-0.8049832093908581,-0.35131215184737297,-0.4848725645150724,-0.44032609113989835,0.32,NA
LKA,2016,95,5,SEA,7371,8660,0.8511547344110855,66,3.5,60,-0.5069953891352319,-0.3745715287370879,-0.49185855936006034,-0.5058332165555656,0.15,NA
LKA,2017,95,5,SEA,7038,8328,0.8451008645533141,61,3.5,61,-0.20900756887960567,-0.4036457498492315,-0.49185855936006034,-0.44032609113989835,0.36,NA
LKA,2018,95,5,SEA,7284,8613,0.8456983629397422,58,3.5,66,0.08898025137602054,-0.4210902825165177,-0.49185855936006034,-0.11279046406156223,0.42,NA
LKA,2019,95,5,SEA,6929,8186,0.84644515025653555,57,3.4,65,0.38696807163164676,-0.42690512673894637,-0.4941872243083897,-0.17829758947722946,0.47,NA
LKA,2020,95,5,SEA,5815,7036,0.8264638999431495,55,3.6,56,0.684955891887273,-0.43853481518380383,-0.489529894411731,-0.7678617182182345,0.49,0
LKA,2021,95,5,SEA,5235,6551,0.7991146389864143,55,3.6,52,0.9829437121428992,-0.43853481518380383,-0.489529894411731,-1.0298902198809032,0.73,1
LKA,2022,95,5,SEA,6375,8109,0.7861635220125787,56,3.6,64,1.2809315323985255,-0.4327199709613751,-0.489529894411731,-0.24380471489289668,0.6,1
LKA,2023,95,5,SEA,7437,9271,0.8021788372343868,57,3.5,71,1.5789193526541516,-0.42690512673894637,-0.49185855936006034,0.21474516301677388,0.48,1
SDN,2013,143,3,EMR,14233,17396,0.8181765923200736,100,23,51,-1.4009588499021106,-0.17686682517451124,-0.037768894435845864,-1.0953973452965706,3.4,NA
SDN,2014,143,3,EMR,4754,5769,0.8240596290518287,94,21,53,-1.1029710296464843,-0.21175589050908358,-0.08434219340243196,-0.9643830944652361,3.1,NA
SDN,2017,143,3,EMR,16145,20188,0.7997325143649693,77,13,63,-0.20900756887960567,-0.3106082422903719,-0.27063538926877634,-0.3093118403085639,2.4,NA
SDN,2018,143,3,EMR,16851,20080,0.8391932270916335,71,12,64,0.08898025137602054,-0.34549730762494424,-0.2939220387520694,-0.24380471489289668,2.3,NA
SDN,2019,143,3,EMR,17095,20645,0.8280455316057157,67,10,65,0.38696807163164676,-0.36875668451465915,-0.3404953377186555,-0.17829758947722946,2.2,NA
SDN,2020,143,3,EMR,14922,17408,0.8571920955882353,62,12,60,0.684955891887273,-0.3978309056268028,-0.2939220387520694,-0.5058332165555656,2.2,1
SDN,2021,143,3,EMR,16514,18719,0.8822052460067311,58,9.9,66,0.9829437121428992,-0.4210902825165177,-0.3428240026669848,-0.11279046406156223,2.2,1
SDN,2022,143,3,EMR,13072,19675,0.6643964421855146,54,7.8,72,1.2809315323985255,-0.44434965940623256,-0.3917259665819002,0.2802522884324411,2.2,1
SDN,2023,143,3,EMR,8435,13625,0.6190825688073395,50,11,53,1.5789193526541516,-0.46760903629594747,-0.31720868823536247,-0.9643830944652361,2.2,1
SUR,2013,153,2,AMR,105,136,0.7720588235294118,37,3.7,67,-1.4009588499021106,-0.5432020111875209,-0.4872012294634017,-0.04728333864589502,23,NA
SUR,2014,153,2,AMR,112,146,0.7671232876712328,37,5.4,68,-1.1029710296464843,-0.5432020111875209,-0.4476139253418035,0.018223786769772203,29,NA
SUR,2015,153,2,AMR,106,140,0.7571428571428571,35,5.4,70,-0.8049832093908581,-0.5548316996323783,-0.4476139253418035,0.14923803760110665,30,NA
SUR,2016,153,2,AMR,77,114,0.6754385964912281,27,4.1,71,-0.5069953891352319,-0.6013504534118082,-0.4778865696700845,0.21474516301677388,23,NA
SUR,2017,153,2,AMR,94,129,0.7286821705426356,31,3.9,71,-0.20900756887960567,-0.5780910765220932,-0.48254389956674315,0.21474516301677388,18,NA
SUR,2018,153,2,AMR,151,174,0.867816091954023,41,4,71,0.08898025137602054,-0.519942634297806,-0.4802152346184138,0.21474516301677388,15,NA
SUR,2019,153,2,AMR,105,133,0.7894736842105263,31,4.7,71,0.38696807163164676,-0.5780910765220932,-0.46391457998010865,0.21474516301677388,27,NA
SUR,2020,153,2,AMR,77,103,0.7475728155339806,25,4,66,0.684955891887273,-0.6129801418566656,-0.4802152346184138,-0.11279046406156223,22,1
SUR,2021,153,2,AMR,59,82,0.7195121951219512,23,4.4,61,0.9829437121428992,-0.6246098303015231,-0.4709005748250965,-0.44032609113989835,19,1
